author,ressort,_id,date,title,keywords,intro,body
Author nicht bekannt,Gesundheit,24,24,24,24,24,24
Svenja Bergt,Netzökonomie,20,20,20,20,20,20
Dominic Johnson,Afrika,18,18,18,18,18,18
Stefan Reinecke,Deutschland,17,17,17,17,17,17
Anja Krüger,Verkehr,17,17,17,17,17,17
Author nicht bekannt,Amerika,16,16,16,16,16,16
Susanne Schwarz,Ökologie,16,16,16,16,16,16
Sabine am Orde,Deutschland,15,15,15,15,15,15
Eric Bonse,Europa,13,13,13,13,13,13
Konrad Litschko,Deutschland,13,13,13,13,13,13
Katrin Gänsler,Afrika,12,12,12,12,12,12
Christian Rath,Deutschland,12,12,12,12,12,12
Author nicht bekannt,Europa,11,11,11,11,11,11
Author nicht bekannt,Nahost,11,11,11,11,11,11
Author nicht bekannt,Deutschland,11,11,11,11,11,11
Bernd Pickert,Amerika,11,11,11,11,11,11
Manfred Ronzheimer,Wissenschaft,10,10,10,10,10,10
Rudolf Balmer,Europa,10,10,10,10,10,10
Ralf Leonhard,Europa,10,10,10,10,10,10
Fabian Kretschmer,Asien,10,10,10,10,10,10
